,Transformations,Input_csv,Output_csv
0,[0],input_generic_numerical.csv,output0.csv
1,[1],input_generic_numerical.csv,output1.csv
2,[2],input_generic_numerical.csv,output2.csv
3,[3],input_generic_numerical.csv,output3.csv
4,[4],input_generic_numerical.csv,output4.csv
5,[5],input_generic_numerical.csv,output5.csv
6,[6],input_generic_numerical.csv,output6.csv
7,[7],input_generic_numerical.csv,output7.csv
8,[8],input_generic_numerical.csv,output8.csv
9,[9],input_generic_numerical.csv,output9.csv
10,[10],input_generic_numerical.csv,output10.csv
11,[11],input_generic_numerical.csv,output11.csv
12,[12],input_generic_numerical.csv,output12.csv
13,[13],input_generic_numerical.csv,output13.csv
14,[14],input_generic_numerical.csv,output14.csv
15,[15],input_generic_numerical.csv,output15.csv
16,[16],input_signal_transforms.csv,output16.csv
17,[17],input_signal_transforms.csv,output17.csv
18,[18],input_signal_transforms.csv,output18.csv
19,[19],input_signal_transforms.csv,output19.csv
20,[20],input_signal_transforms.csv,output20.csv
21,[21],input_signal_transforms.csv,output21.csv
22,[22],input_signal_transforms.csv,output22.csv
23,[23],input_signal_transforms.csv,output23.csv
24,[24],input_signal_transforms.csv,output24.csv
25,[25],input_signal_transforms.csv,output25.csv
26,[26],input_signal_transforms.csv,output26.csv
27,[27],input_signal_transforms.csv,output27.csv
28,[28],input_signal_transforms.csv,output28.csv
29,[29],input_signal_transforms.csv,output29.csv
30,[30],input_signal_transforms.csv,output30.csv
31,[31],input_for_tabular_data_augmentation.csv,output31.csv
32,[32],input_for_tabular_data_augmentation.csv,output32.csv
33,[33],input_for_tabular_data_augmentation.csv,output33.csv
34,[34],input_for_tabular_data_augmentation.csv,output34.csv
35,[35],input_for_tabular_data_augmentation.csv,output35.csv
36,[36],input_for_tabular_data_augmentation.csv,output36.csv
37,[37],input_for_tabular_data_augmentation.csv,output37.csv
38,[38],input_for_tabular_data_augmentation.csv,output38.csv
39,[39],input_for_tabular_data_augmentation.csv,output39.csv
40,[40],input_for_tabular_data_augmentation.csv,output40.csv
41,[41],input_for_time_series_data_augmentation.csv,output41.csv
42,[42],input_for_time_series_data_augmentation.csv,output42.csv
43,[44],input_for_time_series_data_augmentation.csv,output43.csv
44,[45],input_for_time_series_data_augmentation.csv,output44.csv
45,[46],input_for_time_series_data_augmentation.csv,output45.csv
46,[48],input_time_series.csv,output46.csv
47,[49],input_time_series.csv,output47.csv
48,[50],input_time_series.csv,output48.csv
49,[51],input_time_series.csv,output49.csv
50,[52],input_time_series.csv,output50.csv
51,[53],input_time_series.csv,output51.csv
52,[54],input_time_series.csv,output52.csv
53,[55],input_time_series.csv,output53.csv
54,[56],input_time_series.csv,output54.csv
55,[57],input_time_series.csv,output55.csv
56,[58],input_time_series.csv,output56.csv
57,[59],input_time_series.csv,output57.csv
58,[60],input_time_series.csv,output58.csv
59,[61],input_time_series.csv,output59.csv
60,[62],input_tabular.csv,output60.csv
61,[63],input_tabular.csv,output61.csv
62,[64],input_tabular.csv,output62.csv
63,[65],input_tabular.csv,output63.csv
64,[66],input_tabular.csv,output64.csv
65,[67],input_tabular.csv,output65.csv
66,[68],input_for_feature_selection.csv,output66.csv
67,[69],input_for_feature_selection.csv,output67.csv
68,[70],input_for_feature_selection.csv,output68.csv
69,[71],input_for_feature_selection.csv,output69.csv
70,[72],input_for_feature_selection.csv,output70.csv
71,[73],input_for_feature_selection.csv,output71.csv
72,[74],input_tabular.csv,output72.csv
73,[75],input_tabular.csv,output73.csv
74,[76],input_tabular.csv,output74.csv
75,[77],input_generic_numerical_with_missing_values.csv,output75.csv
76,[78],input_generic_numerical_with_missing_values.csv,output76.csv
77,[79],input_generic_numerical_with_missing_values.csv,output77.csv
78,[80],input_generic_numerical_with_missing_values.csv,output78.csv
79,[81],input_generic_numerical_with_missing_values.csv,output79.csv
80,[82],input_generic_numerical.csv,output80.csv
81,[83],input_generic_numerical.csv,output81.csv
82,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",input_generic_numerical.csv,output82.csv
83,"[31, 32, 33, 34, 35, 36, 39, 40]",input_for_tabular_data_augmentation.csv,output83.csv
84,"[41, 42, 44]",input_for_time_series_data_augmentation.csv,output84.csv
