,Code,Description
0,"df = mean_center_row(df,0)
",Subtracts the mean value of the data in the first row from every data point in the same row.
1,"df = mean_center_column(df,0)
",Subtracts the mean value of the data in the first column from every data point in the same column.
2,"df = normalize_row(df,0)
",Divides every value in the first row by the sum of all the values in the first row so that a sum over all the values in the row equals 1.
3,"df = normalize_column(df,0)
",Divides every value in the first column by the sum of all the values in the first column so that a sum over all the values in the column equals 1.
4,"df = reconstruct_using_PCA(df, 5)
",Reconstructs the data in a dataframe using the first five principal components.
5,"df = add_mean_row(df)
",Adds a row to the dataframe where each value is the mean value of the column it belongs to.
6,"df = add_median_row(df)
",Adds a row to the dataframe where each value is the median value of the column it belongs to.
7,"df = add_std_row(df)
",Adds a row to the dataframe where each value is the standard deviation value of the column it belongs to.
8,"df = add_var_row(df)
",Adds a row to the dataframe where each value is the variance value of the column it belongs to.
9,"df = add_skewness_row(df)
",Adds a row to the dataframe where each value is the skewness value of the column it belongs to.
10,"df = add_kurtosis_row(df)
",Adds a row to the dataframe where each value is the kurtosis value of the column it belongs to.
11,"df = add_sum_row(df)
",Adds a row to the dataframe where each value is the sum over the elemtns of the column it belongs to.
12,"df = add_min_row(df)
",Adds a row to the dataframe where each value is the minimum value of the column it belongs to.
13,"df = add_max_row(df)
",Adds a row to the dataframe where each value is the maximum value of the column it belongs to.
14,"df = add_count_row(df, 0)
",Adds a row to the dataframe where each value is the number of 0's that occur in the column it belongs to.
15,"df = add_range_row(df)
",Adds a row to the dataframe where each value is the range (i.e. the difference between the minimum and maximum values) of the column it belongs to.
16,"df = aggregate_downsampling(df, 'date', 'D')
",Downsamples the DataFrame df by aggregating data to a daily frequency ('D') using the mean as the aggregation function.
17,"df = period_averaging(df, 'date', 'D')
",Averages the DataFrame df over daily periods ('D')
18,"df = subsampling(df, 24)
",Subsamples the DataFrame df by selecting every 24th row
19,"df = interpolation_upsampling(df, 'date', '30T')
",Upsamples the DataFrame df to a 30-minute frequency ('30T') using interpolation
